TIME,C_LOAD,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Provincia Autonoma di Bolzano/Bozen,Provincia Autonoma di Trento,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta/Vallée d'Aoste,Veneto
2015,Abruzzo,4552571,,,,205538,,,,91647,88127,16262,13563,,,132430,,,,,,19146
2015,Basilicata,,1192524,2034,15391,,,23017,111,113,,,2,,,1415,,,16,,,
2015,Calabria,,2223,5850436,291505,15642,,362025,10721,28853,,,16111,,,11882,,23404,9440,73,,
2015,Campania,,13663,300610,107221510,676825,,3168596,47345,1179707,,,201970,,,77118,,92088,566706,2429,,143520
2015,Emilia-Romagna,203020,,12083,670717,32018956,36255,1292424,,2178243,434554,64667,304625,35956,32754,499474,,,1085703,18573,,470720
2015,Friuli-Venezia Giulia,,,,,35320,6823242,61053,,168369,,,11818,,,,,,33259,460,,147108
2015,Lazio,,20886,382530,2707043,1301371,59350,147878200,306038,2741865,128944,,475811,101350,80457,403033,,130389,2246724,151868,,1288632
2015,Liguria,,110,10709,47486,,,299879,39906270,1085805,,,153527,,,,,8084,426681,,,
2015,Lombardia,93666,169,34215,1168443,2101654,140280,2714612,1064313,196644690,249738,31663,1472448,,,291738,,30115,1571612,25556,,2630386
2015,Marche,94038,,,,432806,,125349,,242058,8381982,20680,15294,,,144402,,,,15794,,21277
2015,Molise,23367,,,,65000,,,,32233,20642,1215756,5956,,,36000,,,,,,6028
2015,Piemonte,15301,2,19360,208527,317357,11696,464293,138717,1890324,18492,6329,43897376,,,78711,,1132,207924,,,230418
2015,Provincia Autonoma di Bolzano/Bozen,,,,,44326,,87983,,,,,,7239527,4039,,,,16394,274,,44978
2015,Provincia Autonoma di Trento,,,,,42353,,80960,,,,,,2407,3336927,,,,17480,221,,19960
2015,Puglia,137134,1575,12717,72006,494248,,407036,,299380,136223,51054,75923,,,13152017,,,,,,52587
2015,Sardegna,,,,,,,,,,,,,,,,4099722,,,,,
2015,Sicilia,,,24857,92658,,,130150,9604,28041,,,1223,,,,,11196193,3606,,,
2015,Toscana,,11,9327,593405,1091243,31048,2268225,427111,1574662,,,201341,17500,17615,,,2429,67147470,21428,,971599
2015,Umbria,,,,2275,19996,391,204609,,25341,23490,,,214,130,,,,30193,7554216,,2805
2015,Valle d'Aosta/Vallée d'Aoste,,,,,,,,,,,,,,,,,,,,3062535,
2015,Veneto,19617,,,150086,518197,123749,1325794,,2633652,22584,6331,235091,51087,29964,49411,,,1004313,3400,,48778150
